City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
244,Wilmington,US,34.23,-77.94,82.89,72,0,1.01,clear sky
245,Kosh-Agach,RU,50.0,88.67,47.16,45,0,2.44,clear sky
246,Buzmeyin,TM,38.05,58.21,92.93,17,0,6.91,clear sky
247,Ulladulla,AU,-35.35,150.47,57.78,88,100,7.05,moderate rain
248,Potsdam,DE,52.4,13.07,64.87,70,73,1.01,broken clouds
249,Manggar,ID,-2.88,108.27,81.43,78,100,8.9,overcast clouds
250,Pombas,CV,17.15,-25.02,83.98,72,44,14.29,scattered clouds
251,Ayan,RU,56.45,138.17,44.64,68,22,7.92,few clouds
252,Butte,US,39.65,-121.57,60.82,82,100,0.0,overcast clouds
253,Maragogi,BR,-9.01,-35.22,81.45,62,34,9.57,scattered clouds
254,Baniachang,BD,24.52,91.37,79.21,91,77,5.14,broken clouds
255,Entebbe,UG,0.06,32.45,77.5,61,14,7.81,light rain
256,Tuban,ID,-6.9,112.06,80.85,74,100,5.61,overcast clouds
257,Zalantun,CN,48.0,122.72,55.13,43,100,2.28,overcast clouds
258,New Milford,US,40.93,-74.02,73.09,70,0,1.99,clear sky
259,Ngunguru,NZ,-35.62,174.5,52.43,91,19,7.14,few clouds
260,Tsagan Aman,RU,47.56,46.72,79.75,41,70,4.34,broken clouds
261,Havre-Saint-Pierre,CA,50.23,-63.6,52.16,87,100,11.5,overcast clouds
262,Vradiyivka,UA,47.86,30.59,56.07,59,77,10.07,broken clouds
263,Mwinilunga,ZM,-11.74,24.43,74.19,55,82,5.32,broken clouds
264,Sayat,TM,38.78,63.88,93.07,14,0,11.36,clear sky
265,Erzurum,TR,40.0,41.5,73.08,25,100,16.53,overcast clouds
266,Cap Malheureux,MU,-19.98,57.61,73.47,71,0,10.0,clear sky
267,Weligama,LK,5.97,80.42,79.27,84,7,9.08,clear sky
268,Kaoma,ZM,-14.78,24.8,90.73,23,61,6.82,broken clouds
269,Lovozero,RU,68.0,35.01,43.68,63,94,3.62,overcast clouds
270,Cayenne,GF,4.93,-52.33,86.04,70,75,8.05,broken clouds
271,Nampula,MZ,-15.12,39.27,87.75,33,40,8.05,scattered clouds
272,Letnik,RU,46.01,41.27,65.73,73,100,5.88,overcast clouds
273,Buchanan,LR,5.88,-10.05,79.41,80,94,12.57,light rain
274,Hasaki,JP,35.73,140.83,66.6,64,100,21.21,overcast clouds
275,Khash,IR,28.22,61.22,84.29,11,1,15.26,clear sky
276,Andenes,NO,69.31,16.12,46.92,93,75,21.85,broken clouds
277,Yenagoa,NG,4.92,6.26,82.06,75,100,6.17,light rain
278,Santa Comba,ES,43.03,-8.81,81.68,24,31,4.83,scattered clouds
279,Saint-Augustin,CA,51.23,-58.65,59.76,57,39,9.4,scattered clouds
280,Aberdeen,GB,57.14,-2.1,70.48,63,20,19.57,few clouds
281,Marawi,PH,8.0,124.29,69.31,91,100,2.28,light rain
282,Avarua,CK,-21.21,-159.78,73.45,78,75,11.5,broken clouds
